word,traditional,pinyin,hsk_level
干净,乾淨,gān jìng,1
年,年,Nián,1
床,床,chuáng,1
开,開,kāi,1
开会,開會,kāi huì,1
开玩笑,開玩笑,kāi wán xiào,1
开车,開車,kāi chē,1
弟,弟,dì,1
弟弟,弟弟,dì di,1
很,很,hěn,1
得到,得到,dé dào,1
忘,忘,wàng,1
忘记,忘記,wàng jì,1
忙,忙,máng,1
快,快,kuài,1
怎么,怎麼,zěn me,1
您,您,nín,1
想,想,xiǎng,1
慢,慢,màn,1
我,我,wǒ,1
我们,我們,wǒ men,1
房子,房子,fáng zi,1
房间,房間,fáng jiān,1
手,手,shǒu,1
手机,手機,shǒu jī,1
打,打,dá,1
打开,打開,dǎ kāi,1
打球,打球,dǎ qiú,1
打电话,打電話,dǎ diàn huà,1
打车,打車,dǎ chē,1
找,找,zhǎo,1
找到,找到,zhǎo dào,1
拿,㧱,ná,1
放,放,fàng,1
放假,放假,fàng jià,1
放学,放學,fàng xué,1
教,教,Jiào,1
教学楼,教學樓,jiào xué lóu,1
新,新,Xīn,1
新年,新年,xīn nián,1
旁边,旁邊,páng biān,1
日,日,Rì,1
日期,日期,rì qī,1
早,早,zǎo,1
早上,早上,zǎo shang,1
早饭,早飯,zǎo fàn,1
时候,時候,shí hou,1
时间,時間,shí jiān,1
明天,明天,míng tiān,1
明年,明年,míng nián,1
明白,明白,míng bai,1
星期,星期,xīng qī,1
星期天,星期天,Xīng qī tiān,1
星期日,星期日,Xīng qī rì,1
昨天,昨天,zuó tiān,1
是,是,shì,1
是不是,是不是,shì bù shì,1
晚,晚,wǎn,1
晚上,晚上,wǎn shang,1
晚饭,晚飯,wǎn fàn,1
最,㝡,zuì,1
最后,最後,zuì hòu,1
最好,最好,zuì hǎo,1
月,月,yuè,1
有,有,yǒu,1
有一些,有一些,yǒu yī xiē,1
有些,有些,yǒu xiē,1
有名,有名,yǒu míng,1
有时,有時,yǒu shí,1
有时候,有時候,yǒu shí hou,1
有用,有用,yǒu yòng,1
有的,有的,yǒu de,1
朋友,朋友,péng you,1
本,本,běn,1
本子,本子,běn zi,1
机场,機場,jī chǎng,1
机票,機票,jī piào,1
来,來,lái,1
来到,來到,lái dào,1
杯,杯,bēi,1
杯子,杯子,bēi zi,1
树,樹,shù,1
桌子,桌子,zhuō zi,1
楼,樓,Lóu,1
楼上,樓上,lóu shàng,1
楼下,樓下,lóu xià,1
次,次,cì,1
歌,歌,gē,1
正,正,zhēng,1
正在,正在,zhèng zài,1
比,比,Bǐ,1
毛,毛,Máo,1
水,水,Shuǐ,1
水果,水果,shuǐ guǒ,1
汉字,漢字,hàn zì,1
汉语,漢語,Hàn yǔ,1
汽车,汽車,qì chē,1
没,沒,méi,1
没事儿,沒事兒,méi shì r,1
没什么,沒什麼,méi shén me,1
没关系,沒關係,méi guān xi,1
没有,沒有,méi yǒu,1
洗,洗,xǐ,1
洗手间,洗手間,xǐ shǒu jiān,1
渴,渴,kě,1
火车,火車,huǒ chē,1
点,點,diǎn,1
热,熱,rè,1
爱,愛,ài,1
爱好,愛好,ài hào,1
爷爷,爺爺,yé ye,1
爸,爸,bà,1
爸爸,爸爸,bà ba,1
牛奶,牛奶,niú nǎi,1
玩儿,玩兒,wán r,1
现在,現在,xiàn zài,1
班,班,Bān,1
球,球,qiú,1
生日,生日,shēng rì,1
生气,生氣,shēng qì,1
生病,生病,shēng bìng,1
用,用,yòng,1
电,電,diàn,1
电影,電影,diàn yǐng,1
电影院,電影院,diàn yǐng yuàn,1
电脑,電腦,diàn nǎo,1
电视,電視,diàn shì,1
电视机,電視機,diàn shì jī,1
电话,電話,diàn huà,1
男,男,nán,1
男人,男人,nán rén,1
男孩儿,男孩兒,nán hái r,1
男朋友,男朋友,nán péng you,1
男生,男生,nán shēng,1
病,病,bìng,1
病人,病人,bìng rén,1
白,白,Bái,1
白天,白天,bái tiān,1
百,百,Bǎi,1
的,的,de,1
看,看,kān,1
看到,看到,kàn dào,1
看病,看病,kàn bìng,1
看见,看見,kàn jiàn,1
真,真,zhēn,1
真的,真的,zhēn de,1
着,著,zhāo,1
睡,睡,shuì,1
睡觉,睡覺,shuì jiào,1
知识,知識,zhī shi,1
知道,知道,zhī dào,1
票,票,piào,1
穿,穿,chuān,1
站,站,zhàn,1
笑,咲,xiào,1
第,第,dì,1
第二,第二,dì èr,1
等,等,děng,1
米饭,米飯,mǐ fàn,1
累,累,lěi,1
给,給,gěi,1
网上,網上,wǎng shàng,1
网友,網友,wǎng yǒu,1
老,老,lǎo,1
老人,老人,lǎo rén,1
老师,老師,lǎo shī,1
考,攷,kǎo,1
考试,考試,kǎo shì,1
肉,肉,ròu,1
能,能,Néng,1
花,花,Huā,1
茶,茶,chá,1
菜,菜,cài,1
行,行,háng,1
衣服,衣服,yī fu,1
西,西,Xī,1
西边,西邊,xī biān,1
要,要,yāo,1
见,見,jiàn,1
见面,見面,jiàn miàn,1
觉得,覺得,jué de,1
认真,認真,rèn zhēn,1
认识,認識,rèn shi,1
记,記,jì,1
记住,記住,jì zhu,1
记得,記得,jì de,1
试,試,shì,1
话,話,huà,1
说,說,shuì,1
说话,說話,shuō huà,1
请,請,qǐng,1
请假,請假,qǐng jià,1
请坐,請坐,qǐng zuò,1
请进,請進,qǐng jìn,1
请问,請問,qǐng wèn,1
读,讀,dòu,1
读书,讀書,dú shū,1
课,課,kè,1
课文,課文,kè wén,1
课本,課本,kè běn,1
谁,誰,shéi,1
谢谢,謝謝,xiè xie,1
贵,貴,guì,1
走,走,zǒu,1
走路,走路,zǒu lù,1
起,起,qǐ,1
起床,起床,qǐ chuáng,1
起来,起來,qǐ lai,1
跑,跑,páo,1
跟,跟,gēn,1
路,路,Lù,1
路上,路上,lù shang,1
路口,路口,lù kǒu,1
身上,身上,shēn shang,1
身体,身體,shēn tǐ,1
车,車,Chē,1
车上,車上,chē shàng,1
车票,車票,chē piào,1
车站,車站,chē zhàn,1
过,過,Guō,1
还,還,Huán,1
还是,還是,hái shi,1
还有,還有,hái yǒu,1
这,這,zhè,1
这些,這些,zhè xiē,1
这儿,這兒,zhè r,1
这边,這邊,zhè biān,1
这里,這裏,zhè lǐ,1
进,進,jìn,1
进去,進去,jìn qù,1
进来,進來,jìn lái,1
远,遠,yuǎn,1
送,送,sòng,1
那,那,Nā,1
那些,那些,nà xiē,1
那儿,那兒,nà r,1
那边,那邊,nà bian,1
那里,那裏,nà li,1
都,都,Dū,1
里,裏,lǐ,1
里边,裡邊,lǐ bian,1
重,重,chóng,1
重要,重要,zhòng yào,1
钱,錢,Qián,1
钱包,錢包,qián bāo,1
错,錯,Cuò,1
门,門,Mén,1
门口,門口,mén kǒu,1
门票,門票,mén piào,1
问,問,wèn,1
间,間,jiān,1
难,難,nán,1
雨,雨,yǔ,1
零,零,líng,1
非常,非常,fēi cháng,1
面包,麵包,miàn bāo,1
面条儿,麵條兒,miàn tiáo r,1
页,頁,xié,1
风,風,fēng,1
飞,飛,fēi,1
飞机,飛機,fēi jī,1
饭,飯,fàn,1
饭店,飯店,fàn diàn,1
饿,餓,è,1
马上,馬上,mǎ shàng,1
马路,馬路,mǎ lù,1
高,高,Gāo,1
高兴,高興,gāo xìng,1
鸡蛋,雞蛋,jī dàn,1
一共,一共,yī gòng,2
一定,一定,yī dìng,2
一点点,一點點,yī diǎn diǎn,2
一生,一生,yī shēng,2
一直,一直,yī zhí,2
一般,一般,yī bān,2
一路平安,一路平安,yī lù píng ān,2
一路顺风,一路順風,yī lù shùn fēng,2
一部分,一部分,yī bù fen,2
万,万,mò,2
上周,上周,shàng zhōu,2
下周,下週,xià zhōu,2
下雪,下雪,xià xuě,2
不一会儿,不一會兒,bù yīhuǐr5,2
不一定,不一定,bù yī dìng,2
不久,不久,bù jiǔ,2
不但,不但,bù dàn,2
不同,不同,bù tóng,2
不够,不夠,bù gòu,2
不太,不太,bù tài,2
不好意思,不好意思,bù hǎo yì si,2
不如,不如,bù rú,2
不少,不少,bù shǎo,2
不满,不滿,bù mǎn,2
不行,不行,bù xíng,2
不要,不要,bù yào,2
不过,不過,bù guò,2
不错,不錯,bù cuò,2
东北,東北,Dōng běi,2
东南,東南,dōng nán,2
东方,東方,Dōng fāng,2
个子,個子,gè zi,2
中医,中醫,Zhōng yī,2
中小学,中小學,zhōng xiǎo xué,2
中年,中年,zhōng nián,2
中心,中心,zhōng xīn,2
中级,中級,zhōng jí,2
中餐,中餐,zhōng cān,2
为,為,wéi,2
为什么,為什麼,wèi shén me,2
主人,主人,zhǔ rén,2
主要,主要,zhǔ yào,2
举,擧,jǔ,2
举手,舉手,jǔ shǒu,2
举行,舉行,jǔ xíng,2
也许,也許,yě xǔ,2
习惯,習慣,xí guàn,2
事情,事情,shì qing,2
云,云,yún,2
交,交,jiāo,2
交朋友,交朋友,jiāo péng you,2
交给,交給,jiāo gěi,2
交通,交通,jiāo tōng,2
亮,亮,liàng,2
人们,人們,rén men,2
人口,人口,rén kǒu,2
人数,人數,rén shù,2
亿,億,yì,2
什么样,什麼樣,shén me yàng,2
今后,今後,jīn hòu,2
从小,從小,cóng xiǎo,2
以上,以上,yǐ shàng,2
以下,以下,yǐ xià,2
以为,以為,yǐ wéi,2
以前,以前,yǐ qián,2
以后,以後,yǐ hòu,2
以外,以外,yǐ wài,2
件,件,jiàn,2
份,份,fèn,2
休假,休假,xiū jià,2
但,但,dàn,2
但是,但是,dàn shì,2
位,位,wèi,2
低,低,dī,2
住房,住房,zhù fáng,2
住院,住院,zhù yuàn,2
体育,體育,tǐ yù,2
体育场,體育場,tǐ yù chǎng,2
体育馆,體育館,tǐ yù guǎn,2
作业,作業,zuò yè,2
作家,作家,zuò jiā,2
作文,作文,zuò wén,2
作用,作用,zuò yòng,2
使用,使用,shǐ yòng,2
例如,例如,lì rú,2
例子,例子,lì zi,2
便宜,便宜,biàn yí,2
信,信,xìn,2
信号,信號,xìn hào,2
信心,信心,xìn xīn,2
信息,信息,xìn xī,2
信用卡,信用卡,xìn yòng kǎ,2
倒,倒,dǎo,2
借,借,jiè,2
假,假,gēi,2
假期,假期,jià qī,2
做到,做到,zuò dào,2
做法,做法,zuò fǎ,2
做饭,做飯,zuò fàn,2
停,停,tíng,2
停车,停車,tíng chē,2
停车场,停車場,tíng chē chǎng,2
健康,健康,jiàn kāng,2
像,像,xiàng,2
克,克,Kè,2
入口,入口,rù kǒu,2
全,全,Quán,2
全体,全體,quán tǐ,2
全国,全國,quán guó,2
全家,全家,quán jiā,2
全年,全年,quán nián,2
全身,全身,quán shēn,2
全部,全部,quán bù,2
公交车,公交車,gōng jiāo chē,2
公共汽车,公共汽車,gōng gòng qì chē,2
公司,公司,gōng sī,2
公园,公園,gōng yuán,2
公平,公平,gōng píng,2
公斤,公斤,gōng jīn,2
公路,公路,gōng lù,2
公里,公里,gōng lǐ,2
关心,關心,guān xīn,2
关机,關機,guān jī,2
其中,其中,qí zhōng,2
其他,其他,qí tā,2
养,養,yǎng,2
冬天,冬天,dōng tiān,2
准确,準確,zhǔn què,2
凉,涼,Liáng,2
凉快,涼快,liáng kuai,2
出发,出發,chū fā,2
出口,出口,chū kǒu,2
出国,出國,chū guó,2
出现,出現,chū xiàn,2
出生,出生,chū shēng,2
出租,出租,chū zū,2
出租车,出租車,chū zū chē,2
出门,出門,chū mén,2
出院,出院,chū yuàn,2
分开,分開,fēn kāi,2
分数,分數,fēn shù,2
分钟,分鐘,fēn zhōng,2
刚,剛,gāng,2
刚刚,剛剛,gāng gang,2
刚才,剛才,gāng cái,2
到处,到處,dào chù,2
刻,刻,kè,2
前年,前年,qián nián,2
办,辦,bàn,2
办公室,辦公室,bàn gōng shì,2
办法,辦法,bàn fǎ,2
加,加,Jiā,2
加油,加油,jiā yóu,2
动物,動物,dòng wù,2
动物园,動物園,dòng wù yuán,2
努力,努力,nǔ lì,2
北方,北方,běi fāng,2
十分,十分,shí fēn,2
千,千,qiān,2
千克,千克,qiān kè,2
午睡,午睡,wǔ shuì,2
午餐,午餐,wǔ cān,2
半夜,半夜,bàn yè,2
单位,單位,dān wèi,2
卖,賣,mài,2
南方,南方,nán fāng,2
占,佔,zhàn,2
卡,卡,kǎ,2
原因,原因,yuán yīn,2
原来,原來,yuán lái,2
参加,參加,cān jiā,2
参观,參觀,cān guān,2
又,又,yòu,2
友好,友好,Yǒu hǎo,2
发,發,fā,2
发现,發現,fā xiàn,2
取,取,qǔ,2
取得,取得,qǔ dé,2
受到,受到,shòu dào,2
变,變,biàn,2
变成,變成,biàn chéng,2
句,句,gōu,2
句子,句子,jù zi,2
只,只,zhǐ,2
只能,只能,zhǐ néng,2
只要,只要,zhǐ yào,2
叫作,叫作,jiào zuò,2
可以,可以,kě yǐ,2
可怕,可怕,kě pà,2
可是,可是,kě shì,2
可爱,可愛,kě ài,2
可能,可能,kě néng,2
司机,司機,sī jī,2
合适,合適,hé shì,2
同事,同事,tóng shì,2
同时,同時,tóng shí,2
同样,同樣,tóng yàng,2
名,名,míng,2
名单,名單,míng dān,2
名称,名稱,míng chēng,2
后来,後來,hòu lái,2
向,向,Xiàng,2
听讲,聽講,tīng jiǎng,2
听说,聽說,tīng shuō,2
吹,吹,chuī,2
周,周,Zhōu,2
周年,週年,zhōu nián,2
周末,週末,zhōu mò,2
味道,味道,wèi dao,2
咱,偺,zán,2
咱们,咱們,zán men,2
响,響,xiǎng,2
哭,哭,kū,2
商人,商人,shāng rén,2
商量,商量,shāng liang,2
啊,啊,ā,2
喂,喂,wéi,2
喊,喊,hǎn,2
嘴,嘴,zuǐ,2
回国,回國,huí guó,2
因为,因為,yīn wèi,2
国际,國際,guó jì,2
图片,圖片,tú piàn,2
地球,地球,dì qiú,2
地铁,地鐵,dì tiě,2
地铁站,地鐵站,dì tiě zhàn,2
场,場,cháng,2
坏人,壞人,huài rén,2
坏处,壞處,huài chu,2
墙,墻,qiáng,2
声音,聲音,shēng yīn,2
复习,復習,fù xí,2
夏天,夏天,xià tiān,2
外卖,外賣,wài mài,2
外地,外地,wài dì,2
多久,多久,duō jiǔ,2
多么,多麼,duō me,2
多云,多雲,duō yún,2
多数,多數,duō shù,2
夜,亱,yè,2
夜里,夜裡,yè li,2
够,夠,gòu,2
大人,大人,dà ren,2
大声,大聲,dà shēng,2
大多数,大多數,dà duō shù,2
大大,大大,dà dà,2
大家,大家,dà jiā,2
大小,大小,dà xiǎo,2
大海,大海,dà hǎi,2
大自然,大自然,dà zì rán,2
大衣,大衣,dà yī,2
大部分,大部分,dà bù fen,2
大量,大量,dà liàng,2
大门,大門,Dà mén,2
天上,天上,tiān shàng,2
太太,太太,tài tai,2
太阳,太陽,tài yang,2
头,頭,tóu,2
头发,頭髮,tóu fa,2
套,套,tào,2
好久,好久,hǎo jiǔ,2
好事,好事,hǎo shì,2
好人,好人,hǎo rén,2
好像,好像,hǎo xiàng,2
好处,好處,hǎo chǔ,2
好多,好多,hǎo duō,2
如果,如果,rú guǒ,2
姓,姓,xìng,2
姓名,姓名,xìng míng,2
字典,字典,zì diǎn,2
学期,學期,xué qī,2
它,它,tā,2
它们,它們,tā men,2
安全,安全,ān quán,2
安静,安靜,ān jìng,2
完,完,wán,2
完全,完全,wán quán,2
完成,完成,wán chéng,2
实习,實習,shí xí,2
实在,實在,shí zài,2
实现,實現,shí xiàn,2
实际,實際,shí jì,2
客人,客人,kè rén,2
家庭,家庭,jiā tíng,2
家长,家長,jiā zhǎng,2
对话,對話,duì huà,2
对面,對面,duì miàn,2
封,封,Fēng,2
小声,小聲,xiǎo shēng,2
小心,小心,xiǎo xīn,2
小时候,小時候,xiǎo shí hou,2
小组,小組,xiǎo zǔ,2
小说,小說,xiǎo shuō,2
少年,少年,shào nián,2
少数,少數,shǎo shù,2
就要,就要,jiù yào,2
层,層,céng,2
差不多,差不多,chà bu duō,2
已经,已經,yǐ jīng,2
市,市,shì,2
市长,市長,shì zhǎng,2
带,帶,dài,2
带来,帶來,dài lái,2
帮助,幫助,bāng zhù,2
常用,常用,cháng yòng,2
常见,常見,cháng jiàn,2
干杯,乾杯,gān bēi,2
干活儿,幹活兒,gàn huó r,2
平,平,Píng,2
平安,平安,píng ān,2
平常,平常,píng cháng,2
平时,平時,píng shí,2
平等,平等,píng děng,2
年级,年級,nián jí,2
年轻,年輕,nián qīng,2
广告,廣告,guǎng gào,2
广场,廣場,guǎng chǎng,2
应该,應該,yīng gāi,2
店,店,diàn,2
度,度,dù,2
座,座,zuò,2
座位,座位,zuò wèi,2
开学,開學,kāi xué,2
开心,開心,kāi xīn,2
开机,開機,kāi jī,2
弄,弄,lòng,2
当,噹,dāng,2
当时,當時,dāng shí,2
影响,影響,yǐng xiǎng,2
影片,影片,yǐng piàn,2
往,往,wǎng,2
得,得,dé,2
得出,得出,dé chū,2
心中,心中,xīn zhōng,2
心情,心情,xīn qíng,2
心里,心裡,xīn li,2
必须,必須,bì xū,2
快乐,快樂,kuài lè,2
快点儿,快點兒,kuài diǎn r,2
快要,快要,kuài yào,2
快餐,快餐,kuài cān,2
忽然,忽然,hū rán,2
态度,態度,tài du,2
怎么办,怎麼辦,zěn me bàn,2
怎么样,怎麼樣,zěn me yàng,2
怎样,怎樣,zěn yàng,2
怕,怕,Pà,2
急,急,jí,2
想到,想到,xiǎng dào,2
想法,想法,xiǎng fǎ,2
想起,想起,xiǎng qǐ,2
意思,意思,yì si,2
意见,意見,yì jiàn,2
感到,感到,gǎn dào,2
感动,感動,gǎn dòng,2
感觉,感覺,gǎn jué,2
感谢,感謝,gǎn xiè,2
愿意,願意,yuàn yì,2
懂,懂,dǒng,2
懂得,懂得,dǒng de,2
成,成,Chéng,2
成为,成為,chéng wéi,2
成绩,成績,chéng jì,2
或,或,huò,2
或者,或者,huò zhě,2
所以,所以,suǒ yǐ,2
所有,所有,suǒ yǒu,2
手表,手錶,shǒu biǎo,2
才,才,cái,2
打印,打印,dǎ yìn,2
打工,打工,dǎ gōng,2
打算,打算,dǎ suàn,2
找出,找出,zhǎo chū,2
护照,護照,hù zhào,2
报名,報名,bào míng,2
报纸,報紙,bào zhǐ,2
拉,拉,lā,2
拿出,拿出,ná chū,2
拿到,拿到,ná dào,2
挺,挺,tǐng,2
挺好,挺好,tǐng hǎo,2
换,換,huàn,2
掉,掉,diào,2
排,排,pái,2
排球,排球,pái qiú,2
排队,排隊,pái duì,2
接,接,jiē,2
接下来,接下來,jiē xià lái,2
接到,接到,jiē dào,2
接受,接受,jiē shòu,2
接着,接著,jiē zhe,2
推,推,tuī,2
提,提,dī,2
提出,提出,tí chū,2
提到,提到,tí dào,2
提高,提高,tí gāo,2
收,收,shōu,2
收入,收入,shōu rù,2
收到,收到,shōu dào,2
改,改,gǎi,2
改变,改變,gǎi biàn,2
放下,放下,fàng xià,2
放心,放心,fàng xīn,2
故事,故事,gù shì,2
故意,故意,gù yì,2
教学,教學,jiāo xué,2
教室,教室,jiào shì,2
教师,教師,jiào shī,2
教育,教育,jiào yù,2
数,數,shǔ,2
数字,數字,shù zì,2
斤,斤,jīn,2
新闻,新聞,xīn wén,2
方便,方便,fāng biàn,2
方便面,方便麵,fāng biàn miàn,2
方向,方向,fāng xiàng,2
方法,方法,fāng fǎ,2
方面,方面,fāng miàn,2
旅客,旅客,lu:3 kè,2
旅游,旅遊,lu:3 yóu,2
旅行,旅行,lu:3 xíng,2
日子,日子,rì zi,2
日报,日報,rì bào,2
早就,早就,zǎo jiù,2
早晨,早晨,zǎo chén,2
早餐,早餐,zǎo cān,2
明星,明星,míng xīng,2
星星,星星,xīng xing,2
春天,春天,chūn tiān,2
春节,春節,Chūn jié,2
晚会,晚會,wǎn huì,2
晚安,晚安,wǎn ān,2
晚报,晚報,wǎn bào,2
晚餐,晚餐,wǎn cān,2
普通,普通,pǔ tōng,2
普通话,普通話,pǔ tōng huà,2
晴,晴,qíng,2
晴天,晴天,qíng tiān,2
更,更,gēng,2
最近,最近,zuì jìn,2
月亮,月亮,yuè liang,2
月份,月份,yuè fèn,2
有一点儿,有一點兒,yǒu yī diǎn r,2
有人,有人,yǒu rén,2
有意思,有意思,yǒu yì si,2
有点儿,有點兒,yǒu diǎn r,2
有空儿,有空兒,yǒukòngr5,2
服务,服務,fú wù,2
机会,機會,jī huì,2
条,條,tiáo,2
条件,條件,tiáo jiàn,2
来自,來自,lái zì,2
查,查,Zhā,2
校园,校園,xiào yuán,2
校长,校長,xiào zhǎng,2
样子,樣子,yàng zi,2
检查,檢查,jiǎn chá,2
椅子,椅子,yǐ zi,2
欢迎,歡迎,huān yíng,2
正好,正好,zhèng hǎo,2
正常,正常,zhèng cháng,2
正是,正是,zhèng shì,2
正确,正確,zhèng què,2
段,段,Duàn,2
比如,比如,bǐ rú,2
比如说,比如說,bǐ rú shuō,2
气,氣,qì,2
气温,氣溫,qì wēn,2
水平,水平,shuǐ píng,2
永远,永遠,yǒng yuǎn,2
求,求,qiú,2
河,河,hé,2
油,油,yóu,2
洗澡,洗澡,xǐ zǎo,2
洗衣机,洗衣機,xǐ yī jī,2
活动,活動,huó dòng,2
流,流,liú,2
流利,流利,liú lì,2
流行,流行,liú xíng,2
海,海,Hǎi,2
海边,海邊,hǎi biān,2
清楚,清楚,qīng chu,2
温度,溫度,wēn dù,2
游客,遊客,yóu kè,2
湖,湖,hú,2
满,滿,Mǎn,2
满意,滿意,mǎn yì,2
漂亮,漂亮,piào liang,2
灯,燈,dēng,2
点头,點頭,diǎn tóu,2
